title,location,image,call,access,parking,height,lift,toilet,customRoom,seat,ticket,blindConve,deafConve,guidance,wheelchair,longitude,latitude
몽촌역사관,올림픽로 424,,02-2152-5900,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,127.115509,37.51889593
국립중앙박물관,서빙고로 137,http://wis.seoul.go.kr/rest/file/thumbnail/3wcotlitr9n1bunycg52ad01vxadu4mj/1,02-2077-9000,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,126.9803068,37.52388803
백범김구기념관,임정로 26,,02-799-3400,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,126.9592536,37.54427779
몽촌토성,올림픽로 424,http://wis.seoul.go.kr/rest/file/thumbnail/eh41pitgubxj0uzapnpd9909q3qha24x/1,02-410-1114,Y,Y,N,N,N,N,N,Y,Y,N,Y,Y,127.115509,37.51889593
영등포아트홀,국회대로 596 영등포구민회관,http://wis.seoul.go.kr/rest/file/thumbnail/3ynyixlkfqa3p5h5h1l8kbok00ojflrg/1,02-2670-4020,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,126.9001092,37.52600915
창동레지던시,덕릉로257,,02-995-0995,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,127.0393885,37.64073925
경희궁,새문안로 55,http://wis.seoul.go.kr/rest/file/thumbnail/ghr5fry9r342v9y34k6n7rkw0owzztup/1,02-724-0274,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,126.9700965,37.56970097
씽크씽크미술관,봉은사로68길 19,,02-562-9611,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,127.050713,37.5108401
경희대학교 한의학역사박물관,경희대로 26 경희대학교 한의과대학,http://wis.seoul.go.kr/rest/file/thumbnail/avd3i4w6rfe34nriy8240zbhoiylht87/1,02-964-3190,N,N,N,N,N,N,N,N,N,N,N,N,127.0561128,37.59379956
난지미술창작스튜디오,하늘공원로 108-1,http://wis.seoul.go.kr/rest/file/thumbnail/d3a94ffvu2ncrp4fsu7opozecozy4dbt/1,02-308-1071,Y,Y,Y,N,N,N,N,N,N,N,N,Y,126.8785115,37.56931637
전기박물관,효령로72길 60 한전아트센터 내,,02-2105-8190,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,127.0280791,37.4856051
서울올림픽기념관,올림픽로 448 올림픽회관 서울올림픽기념관,,02-410-1354,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,127.1165151,37.52228272
갤러리룩스,필운대로7길 12,http://wis.seoul.go.kr/rest/file/thumbnail/vze1ovxfudz6zy4k61w6d5nyz9nfn4lk/1,02-720-8488,Y,Y,Y,N,N,N,N,N,N,N,N,Y,126.9678596,37.58160111
안중근의사기념관,소월로 91,,02-3789-1016,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,126.9804036,37.55346737
종이나라박물관,장충단로 166,,02-2279-7901,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,127.0061551,37.5596519
