title,location,call,access,parking,height,lift,toilet,customRoom,seat,ticket,blindConve,deafConve,guidance,wheelchair,longitude,latitude
아웃백스테이크하우스 신촌점,서울시 서대문구 연세로12길 33,02-3147-1871,Y,N,N,N,N,N,N,N,N,N,N,N,126.9388632,37.55912024
지태하,서울시 강남구 언주로148길 14,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0363102,37.52023967
본돈,서울시 강남구 테헤란로1길 29-9,02-556-5567,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0
홍천한우,서울시 서초구 효령로55길 47,-1,N,Y,N,N,N,N,N,N,N,N,N,N,127.0140084,37.48696319
원챠우,서울시 강남구 언주로173길  8,02-545-0765,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0328029,37.52839096
효천공영-음악감상실,서울시 종로구 성균관로 87,02-3676-2352,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9982851,37.58997606
동원F&amp;B,서울시 은평구 연서로  165,02-383-0417,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.9173202,37.61363041
브리꼴라쥬카페,서울시 은평구 진흥로 87,02-702-2688,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.921723,37.60474459
경복궁(불고기브라더스),서울시 강서구 공항대로  280,02-3665-7931,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.8384317,37.55803117
정우씨티,서울시 강남구 테헤란로4길  29,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0305365,37.49656524
금강수산,서울시 광진구 아차산로 230,02-461-4300,Y,N,N,N,N,N,N,N,N,N,N,N,127.0687362,37.54025661
카페뎀셀브쥬,서울시 종로구 삼일대로 388,02-2266-5947,Y,Y,N,N,N,N,N,N,N,N,N,N,126.9880023,37.56919754
근린생활시설(고갯마루한정식),서울시 노원구 수락산로 56,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,0,0
뚜레쥬르 &lt;제과점&gt;,서울시 도봉구 도봉로180길 6,02-3494-0435,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0466683,37.68314145
안동찜닭,서울시 중구 명동4길 25,-1,Y,N,N,N,N,N,N,N,N,N,N,N,126.9841095,37.56245997
피자스토리,서울시 도봉구 도봉로114길  21,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0355249,37.64754155
와인 바꼬뜨도르(페리빌딩),서울시 강남구 강남대로94길 27-15,-1,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0291007,37.50069559
이춘복참치,서울시 노원구 노해로85길 10-7,02-951-4558,Y,N,Y,N,N,N,N,N,N,N,N,N,127.0655278,37.656178
Table 2425,서울시 강남구 도산대로59길 16,-1,Y,N,N,N,N,N,N,N,N,N,N,N,127.0423913,37.52477693
㈜이리오어라(한정식),서울시 강남구 언주로153길  12,-1,Y,Y,N,N,N,N,N,N,N,N,N,N,127.0321911,37.52294669
빕스 문정점,서울시 송파구 새말로5길 31,02-443-2997,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.1234526,37.48518023
금수복국,서울시 강남구 삼성로  338,02-508-1900,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0597485,37.50184819
마루갈비,서울시 강동구 양재대로 1642,-1,N,Y,N,N,N,N,N,N,N,N,N,N,0,0
enjoy taste &amp; service,서울시 서초구 서초중앙로 195,-1,Y,Y,Y,N,N,N,N,N,N,N,N,N,127.0120229,37.49918303
일반음식점(삿뽀로),서울시 마포구 월드컵북로 14,02-3144-4671,Y,Y,Y,N,N,N,N,N,N,N,N,N,126.920506,37.55641315
